oblast;title;amount;smd;type;
Житомирська область;Заміна вікон та дверей у Березівській сільській раді по вул. Центральній, 8, с. Березівка Любарського району;15000;67;Розвиток;
Житомирська область;Заміна вікон в Березівській загальноосвітній школі I-III ступеня по вул. Центральній, 8, с. Березівка Любарського району;15000;67;Навчальний заклад;
Житомирська область;Придбання телевізора, центробіжного насоса для Бастово-Руднянської ЗОШ;15000;65;Навчальний заклад;
Житомирська область;Придбання мультимедійного проектора для Неділищенської ЗОШ;15000;65;Навчальний заклад;
Житомирська область;Придбання бойлера, принтера, насосної станції для Сімаківської ЗОШ;15000;65;Навчальний заклад;
Черкаська область;Придбання та монтаж насоса для забезпечення водопостачання по вулицях Шкільній, Піонерській та Зозулевича, Лубенська сільська рада Кам’янського району;15000;198;Навчальний заклад;
Хмельницька область;Капітальний ремонт адміністративної будівлі (заміна віконних та дверних блоків), с. Яхнівці Волочиського району Хмельницької обл.;15000;188;розвиток;
Івано-Франківська область;Капітальний ремонт автомобільної дороги Креховичі - Дзвиняч;15001;86;Асфальт;
Житомирська область;Придбання центробіжного насосу, музичного центру для Медведівської ЗОШ;16000;65;Навчальний заклад;
Миколаївська область;Мурахівська загальноосвітня школа I-III ступеня по вул. Леніна, 40а, с. Мурахівка Березнегуватського району, заміна вікон;17000;130;Навчальний заклад;
Миколаївська область;Дільнична загальноосвітня школа I-III ступеня по вул. Леніна, 14, с. Дільниче Новоодеського району, заміна вікон;17000;130;Навчальний заклад;
Чернігівська область;Придбання мультимедійного комплексу (проектор та ноутбук) для Білорічицької ЗОШ I-III ст. Прилуцького району Чернігівської області;17000;210;Навчальний заклад;
Чернігівська область;Придбання мультимедійного комплексу (проектор та ноутбук) для Валківської ЗОШ I-III ст. Прилуцького району Чернігівської області;17000;210;Навчальний заклад;
Чернігівська область;Придбання мультимедійного комплексу (проектор та ноутбук) для Знам’янської ЗОШ I-III ст. Прилуцького району Чернігівської області;17000;210;Навчальний заклад;
Чернігівська область;Придбання мультимедійного комплексу (інтерактивна дошка та проектор) для Лісовосорочинської ЗОШ I-III ст. Прилуцького району Чернігівської області;17000;210;Навчальний заклад;
Чернігівська область;Придбання мультимедійного комплексу для Ряшківської ЗОШ I-III ст. Прилуцького району Чернігівської області;17000;210;Навчальний заклад;
Чернігівська область;Придбання мультимедійного комплексу (проектор та ноутбук) для Яблунівської ЗОШ I-III ст. Прилуцького району Чернігівської області;17000;210;Навчальний заклад;
Полтавська область;Головачанський навчально-виховний комплекс Полтавської районної ради Полтавської області, заміна вікон;17560;145;Навчальний заклад;
Житомирська область;Капітальне придбання музичного обладнання для будинку культури с. Старий Солотвин, Бердичівського р-ну;17820;63;Заклади культури;
Житомирська область;Придбання сценічних костюмів для учасників художньої самодіяльності будинку культури с. Сімаківка;18000;65;Заклади культури;
Хмельницька область;Придбання комп’ютерної техніки для Шмирківської загальноосвітньої школи I-II ступенів Наркевицької ОТГ Хмельницької області;18000;188;Навчальний заклад;
Хмельницька область;Придбання комп’ютерної техніки для Дзеленецької загальноосвітньої школи I-II ступенів Наркевицької ОТГ Хмельницької області;18000;188;Навчальний заклад;
Полтавська область;Василівська загальноосвітня школа I-III ступенів Полтавської районної ради Полтавської області, заміна вікон;18001;145;Навчальний заклад;
Миколаївська область;Новобузька загальноосвітня школа I-II ступеня № 9 по вул. Польовій, 17, м. Новий Буг, заміна вікон;18100;130;Навчальний заклад;
Житомирська область;Капітальне придбання музичного обладнання для будинку культури с. Іванківці, Бердичівського р-ну;18181;63;Заклади культури;
Полтавська область;Придбання мультимедійного проектора EPSON EB-WO4 та екрана для Тростянецького сільського будинку культури;18200;145;Заклади культури;
Полтавська область;Полтавська районна бібліотека, придбання мультимедійного проектора EPSON EB-WO4 та екрана;18200;145;заклади культури;
Миколаївська область;Березнегуватська загальноосвітня школа I-II ступеня № 1 по вул. Леніна, 18, смт Березнегувате Березнегуватського району, заміна вікон;18600;130;Навчальний заклад;
Миколаївська область;Баратівська загальноосвітня школа I-III ступеня по вул. Шкільній, 1, с. Баратівка Новобузького району, заміна вікон;18600;130;Навчальний заклад;
Одеська область;Капітальний ремонт дитячого майданчика по вул. Святослава Ріхтера, 128, у м. Одесі;18620;134;Діти;
Одеська область;Капітальний ремонт дитячого майданчика по вул. Парковій, 76, у м. Одесі;18620;134;Діти;
Одеська область;Капітальний ремонт дитячого майданчика по вул. Кустанайській, 5, у м. Одесі;18620;134;Діти;
Одеська область;Капітальний ремонт дитячого майданчика по вул. Качалова, 31а, у м. Одесі;18620;134;Діти;
Одеська область;Капітальний ремонт дитячого майданчика по вул. Магістральній, 37, у м. Одесі;18620;134;Діти;
Одеська область;Капітальний ремонт дитячого майданчика по вул. Маршала Бабаджаняна, 15-17, у м. Одесі;18620;134;Діти;
Одеська область;Капітальний ремонт дитячого майданчика по вул. Маршала Бабаджаняна, 19-23, у м. Одесі;18620;134;Діти;
Одеська область;Капітальний ремонт дитячого майданчика по вул. Бреуса, 26, у м. Одесі;18620;134;Діти;
Одеська область;Капітальний ремонт дитячого майданчика по вул. Бреуса, 18, у м. Одесі;18620;134;Діти;
Одеська область;Капітальний ремонт дитячого майданчика по вул. Овідіопольській, 8, у м. Одесі;18620;134;Діти;
Одеська область;Капітальний ремонт дитячого майданчика по вул. Літаковій, 41, у м. Одесі;18620;134;Діти;
