data,deputy,link,assets
2017-03-30T00:00:00,Веселова Наталія Василівна,https://declarations.com.ua/declaration/nacp_176b1d5c-89ac-472a-b71c-3c84fffe6e78,179 858  
2017-04-04T00:00:00,Висоцький Сергій Віталійович,https://declarations.com.ua/declaration/nacp_d8c38255-3250-4f09-8a75-5ddabf649e58,713 384  
2017-03-29T00:00:00,Висоцький Сергій Віталійович,https://declarations.com.ua/declaration/nacp_2c253f8b-f157-496d-8fd7-269037601858,713 043  
2017-03-31T00:00:00,Вілкул Олександр Юрійович,https://declarations.com.ua/declaration/nacp_65afaf42-dc20-46d2-8f85-fb53641e2b51,133 282 328  
2017-03-29T00:00:00,Вінник Іван Юлійович,https://declarations.com.ua/declaration/nacp_b29c9339-f465-4d29-9ddc-38fd413c76b0,0
2017-03-30T00:00:00,Вітко Артем Леонідович,https://declarations.com.ua/declaration/nacp_92ef5af8-11f6-4c27-bcbe-a77c3f5bc59c,624 700  
2017-03-30T00:00:00,Власенко Сергій Володимирович,https://declarations.com.ua/declaration/nacp_412c38bc-281a-4971-82a3-65f824e0352f,21 431 538  
2017-03-25T00:00:00,Вовк Віктор Іванович,https://declarations.com.ua/declaration/nacp_8dfd3859-a87e-48ca-83b2-6d896046e07b,1 207 741  
2017-03-30T00:00:00,Вознюк Юрій Володимирович,https://declarations.com.ua/declaration/nacp_57f00cae-284b-4735-8955-1d5d753d7b44,3 252 768  
2017-03-29T00:00:00,Войцеховська Світлана Михайлівна,https://declarations.com.ua/declaration/nacp_70ace6de-21df-4f70-8b85-73a6b271b7da,1 002 842  
2017-03-30T00:00:00,Войціцька Вікторія Михайлівна,https://declarations.com.ua/declaration/nacp_d4942818-bfc5-4b8b-9cf4-12d751dac447,32 208 690  
2017-03-31T00:00:00,Воропаєв Юрій Миколайович,https://declarations.com.ua/declaration/nacp_bdc15c82-4d41-49cc-8712-52f848dee318,37 800 764  
2017-02-28T00:00:00,Гаврилюк Михайло Віталійович,https://declarations.com.ua/declaration/nacp_cd4510b1-ba35-43c0-a12c-b891ef11a63d,0
2017-03-17T00:00:00,Галасюк Віктор Валерійович,https://declarations.com.ua/declaration/nacp_9b4845dd-c720-463a-ae0b-36614fa35496,5 761 589  
2017-03-30T00:00:00,Гальченко Андрій Володимирович,https://declarations.com.ua/declaration/nacp_88570752-f963-4c05-9008-f889df163096,5 817 698  
2017-03-31T00:00:00,Герасимов Артур Володимирович,https://declarations.com.ua/declaration/nacp_62037566-fa34-47cb-aba4-69c9934fddce,6 413 181  
